date,sentiment_label,sentiment_score
2022-05-20,Neutral,0.9993392825126648
2022-05-23,Positive,0.9823909004529318
2022-05-24,Positive,0.9605974214417594
2022-05-25,Positive,0.9852873866374676
2022-05-26,Neutral,0.9933784820816733
2022-05-27,Neutral,0.9957301169633865
2022-05-28,Negative,0.7991127371788025
2022-05-29,Positive,0.9999983310699464
2022-05-30,Positive,0.9999982515970866
2022-05-31,Neutral,0.9736445307731628
2022-06-01,Positive,1.0
2022-06-02,Positive,0.9996513525644938
2022-06-03,Positive,0.9987921416759491
2022-06-04,Neutral,0.9826593995094299
2022-06-06,Neutral,0.9969388842582703
2022-06-07,Neutral,0.9814460873603821
2022-06-08,Neutral,0.876515249411265
2022-06-09,Neutral,0.9490763247013092
2022-06-10,Positive,0.9958003362019857
2022-06-11,Positive,0.9999966621398926
2022-06-13,Neutral,0.8727715492248536
2022-06-14,Neutral,0.9915811419487
2022-06-15,Positive,0.9949828088283539
2022-06-16,Neutral,0.9980815052986145
2022-06-19,Neutral,0.992027461528778
2022-06-21,Positive,0.9971544146537781
2022-06-22,Neutral,0.9998612701892853
2022-06-23,Neutral,0.9839560091495514
2022-06-24,Neutral,0.9999202489852904
2022-06-25,Negative,0.9285683333873749
2022-06-27,Neutral,0.6698578000068665
2022-06-28,Positive,0.9170373678207397
2022-06-29,Negative,0.9814274112383524
2022-06-30,Neutral,0.8613232672214508
2022-07-01,Neutral,0.9501426617304484
2022-07-02,Positive,0.9641038775444032
2022-07-05,Negative,0.9225028455257416
2022-07-07,Positive,0.998004138469696
2022-07-08,Positive,0.9980119466781616
2022-07-09,Neutral,0.8236210346221924
2022-07-11,Negative,0.9632119735081991
2022-07-12,Neutral,0.9318746447563171
2022-07-13,Positive,0.9999924898147584
2022-07-14,Neutral,0.8270661383867264
2022-07-15,Positive,0.9999333818753561
2022-07-17,Positive,0.99999737739563
